comments	hate
엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제리케이형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
저는 오늘 방송분이 제일 재밌었어요.	0
마이크로 닷 뒤에com도 잡아왔냐?	1
일반인도 기사내줌??	1
저런거 보면 동물을 먹지 말자는 사람들의 논리도 조금은 이해가 간다	0
장면장면 카메라도 잘잡힌듯 하고, 배우들의 연기가 감동적이네요!	0
너 나좀 볼까	0
재밌습니다하하핳히힣	0
어쩌라고? 누군지도 몰라	1
자비에돌란 성장한것을 느낌는 작품	0
3E다. everytime, everywhere, everybody	0
이영훈 봉태규 연기도 인물도 좋다	0
메보가 빠지는데 콘서트가 되냐? 소시에서 태연빠지고 콘서트하는 꼴인데. 팔린티켓 환불해주고 콘취소해라. 팬들 호구취급하네	1
할짓없는 놈들이라고 비난하지마라 ㅋㅋ 니들은 할짓많아서 남의사업장에 일하러간다음 10시간 뼈빠지게일하고 시급 만원받냐? ㅋ	0
정말 재밌어요 >ㅁ신고	0
클럽 보다 나이트가 더 쉽냐?	0
얼래?나경원 자는 왜 온겨?집에서서 애나보지!	1
그건 모르겠고 갑자기 이 듣보잡이 쳐나대는게꼴보기싫음	1
아찔한 조언이네	0
당연히 많이볼수밖에...	0
진상 세입자들이랑 명도 분쟁 겪으면서 별별 놈들 다봄.도망치듯 집행전에 나갈때 백시멘트 변기에 쳐붓고 내리고폼우레탄 하수구에 뿌리고, 우수관에 파이프 박아넣는 놈 등등.당장에는 문제 안생겨도 서서히 건물 골병드는 짓 하고 튄놈도 몇놈 봄.	1
역시 오랜만에 다시 봤지만 견자단의 액션은 화려하고 멋지다	0
저거 뭔 뜻이냐? 나 이해못하것다 대가리가 끼어서 안 나온다는 거?	1
댓글이 없다니 1등	0
태극기 나와서 10점 그리고 춤 멋있었어요 ㅋㅋㅋㅋㅋㅋ	0
정말 웃긴다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
난 이 형 좋아	0
돼지는 영원한 돼지다	1
무슨 장례식장이 패션쇼장이냐홍정욱 행거치프는 뭐냐 OOO 외국넘이라 그런지 예의도 몰라	1
집에 롱 패딩만 세 개다. 10년 더 입어야지 ㅋㅋ	0
서현에도 요즘 구성남애들 지하철 타고 많이 놀러오는듯 시발 좀 꺼졌으면	1
아.. 또 눈물이..	0
핰핰 헌터사랑한다 연재하든안하든간에 난 헌터 존재 그 자체만으로도 미쳐서 뒤집어지는 닝겐이야 핰핰 곤 키르아 크라피카 히르미 히소카 전부다 사랑한닼 핰핰핰 파이로 존나게카와이하네 핰핰 토가시빌 휴재 500일 넘었으니 연재해 OOO아^^ 암튼사랑 핰핰핰	0
아 진짜 대박 꼭 봐야됨.!	0
정말로 재미있게 잘 봤다 ㅎㅎ	0
우와 우와 우와 우와 우와 우와 우와	0
예서 이쁘다..	0
ㅋㅋㅋㅋㅋ 너 용접공이냐? 존나 웃기네. 잘가 병신아.	1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0
와 이젠 일베할떄 위도 살펴봐야겟네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경찰이 수습한다고 폰 주웟는데 일베틀어져있으면 ㅈ되겟다 	1
타워펠리스 관리비 월 100마넌 ᆢ 스튜핏	1
내 인생 최고의 드라마♥♥시크릿 가든과 별에서 온 그대♥0♥	0
임순례감독님 특유의 감성	0
ㄱㅅㄱㅅ 덕분에 속이 시원해짐	0
멋진배경, 아름다운 음악과 함께 잠시 마음의 여유를 찾으세요~! 되~박 아름다운 영화	0
으따  옷 이딴건  필요 없당깨 현금으로 달랑깨 !	0
KBS 주말드라마 인가요?	0
개티즌들 또 소설쓴다 그 난리법석 친 김광석 마누라 사건도 무혐의로 끝났구만	1
교사한테는 학생이 제자지만	0
삼가 고인의 명복을 빕니다. 좋은 분이셨어요.	0
장면 전환이나 움직임이 긴장감 있어서 더 즐거웠고 내용도 좋았고 캐릭터들도 매력있고 재밌었다.	0
재밋게본 기억이나네, 버럭범수 헿	0
별게 다 화재다어제부터 실검 오르더만	0
아니 노예 해방시켜준 일본한테 고마운거면 니들이 일본국민이 될 기회를 박탈해버린 미국은 왜 빠는거냐고 ㅋㅋㅋ	1
선거며	0
약쟁이 빨아주는 국뽕 개돼지들..ㅉㅉ	1
도가 넘었다	0
도경환은 그냥 별로.. 왜 그런지 모르겠는데 너무 이미지 만드는 느낌;	0
일베충 중에 멍청한 놈 하나 선별해서 총알받이로 발탁, 앞세운 것 같은 느낌이 드네요	1
이연걸과 스타뎀의 매력~멋진 영화~최고다!~	0
완전 최고 드라마 베스트&베스트	0
백종원 운영하는 새마을식당드렸다가. 실망 위생 맛 서비스엉망. 자기가게나 신경쓰시지 쯔 쯔	1
끼리끼리 몰라>??	0
다음 화는 꽃길 걷장	0
글로리아 언니 빠이팅이라는 말이 나오는 영화.	0
와 개이쁨 ㅌ	0
불륜정사갈보네이거로 바꿔라	1
잔잔하고 멋있는 영화다. 믿고보는 맷데이먼	0
비비디 바비디 부 bibbidi-bobbidi-boo	0
보고 느끼는게 없냐	0
지금은 200넘겼을듯	0
밧슈넘 멋이쑈어여~(카와이)	0
개거품 노래도전혀못하고...먼음악에자꾸손을댈까...이름알려진것도 라스덕인데..	1
뭐 댓글들 상황 보니깐 ..박명수 마눌님은 여자로서 충분히 매력잇는 사람잇듯. 쿵쾅쿵쾅	1
♥♥♥♥♥	0
돈없으면 감옥가는 세상..문재인 보유국.	1
그 대표적인 예가 문재인	0
한국여자는 집에서청소나처해라 밖에싸돌아다니지말고ㅋㅋ생리대로 싸대기 ㅈㄴ치고싶으니깐	1
사화의 현실을 담으면서도 유쾌한 아주 달콤한영화 제목그대로 최강인영화!대박!!	0
그나저나 스타쉽트루퍼스에 나온 쟈니 친구가 여기 나와서 연설하고 있음ㅋㅋㅋ	0
연예인인데 이미지 생각하고 나 몰라라 무책임하게 생각할 수 있는데, 책임감있고 나이도 생각보다 있네. 남자치고 이른감이 있지만,, 곧 결혼할 나이임..	0
따뜻한 영화입니다 ㅎㅎ	0
뭐 끼리끼리 만나는거다. 원스타-7, 낸시-뭐 이상한애. 대충 답 나오잖냐.	1
걍 하차해 리얼 노잼	0
정말잘어울리는예픈한쌍갓아요 제가더흥분되고기분이너무좋읍니다 너무너무축하축하드립니다	0
이성경 왜케 까데냐? 이뿌기만 허구만... 특히 큰눈알 띙구렇게 뜰 때 졸귀... 여성여성하것도 이쁘고 넘나 이쁭거......... 전작 서현진이 보다 훨낫구만.....페미년들 그만 쳐까라...부러우면 니들이 문제	1
열심히 사는데 예쁘게 봐 주십시다. 악플 그만 다시고.	0
듣보 열애설 관심도 없는데. 무슨 소속사 확인이 필요, 어이가 없네. 주말에 씹을 거리 던져주는 기레기 기사 . 기레기들 역겨움,	1
10+8 진짜 이승기랑 비교된다	0
비 연기도 잘하네요. 군대 안갔으면 헐리우드에서 더 유명해졌을수도 있는데. 어려운 환경에서 태어나 항상 열심히 사는 모습이 항상 존경스럽습니다.	0
진짜 팬이면 계속 좋아하지	0
백종원 요즘 너무 띄워주네...백종원 이기세면 정치판에 뛰어들어서 대통령 할기세네 ㅋㅋㅋㅋ	1
진심 ㅋㅋㅋㅋ 성우 연예인인데도 ㅋㅋㅋ 이상하지 않아 ㅎㅎㅎㅎ	0
봐도봐도 다시생각나게하는영화네요.ost하며 정말 지금봐도 되게 멋있구요....	0
폭동은 진압해야지 병신 새끼야	1
mbc 요즘 일반인들 섭외 ㅈㄴ하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ한심	1
예상했던 결말...	0
문재앙 폭탄 왁스 토나왔스 한걸레 오마이가스레인지 비둘기집단 개정은 꿀정숙 몬스터엑소 레드카펫 핫핑크	1
설마 합방까지 하자고 하겠나하자고 하면 주제넘은 짓이고	0
최수종이 나오는 드라마는 믿고,안보는,,,드라마	0
에드워드 노튼 진짜 최고 인 듯 정말 멋지다. ㅎ	0
보면 행복해지는? 영화 ㅋㅋㅋㅋㅋ	0
이종현씨 잘못없어요 고발하는것들 천벌 받을겁니다 악플 러들과 여론도 지옥갈 짓하는 악마들이구요 종현씨 편하게 못즐긴 청춘을 맘껏 누리고 절대스트레스 받지말고 더행복하게 사세요	1
레알 ㅋㅋ 남자들은 하는 것도 없으면서 키보드로 털기만 잘함 ㅌ	0
윤두준♡	0
life is too short to be pissed off all the time..	0
정말 웃기는인간들이다 니들은 성금이나 내놓고 악플다냐 성금이라는건 본인 알아서내는거지 니들기준으로 내는거냐 정말 악플다는인간들 장말 인간도아니다 재앙이네	1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 파혼했는데 좋은 선후배여윾시 개그맨 것들은 죄다 양아치야~ 헤헤	1
민상아 처낟 잘보내고 와	0
다니엘루이스와 아역인 휴오코너의 연기력도 좋고 전체적인 영화도 담백하다	0
컨셉 희한하게잡았네 종진이..	0
공정위는 백대표님과 방송사가 무슨 관계길래.프랜차이져 사장님이 땅집고 헤엄치게 만드는지 밝혀주세요.전국에 백다방이 순식간에 생겨서 기존 커피숍 다 망하겠어요. ㅠㅠ	1
비하하는 놈들 비하하는 건 개병신 중에서도 상개병신 아닌가?	1
펭귄.부엉이.올빼미(짱개.부칸)똘마니 이름불러준것도 고맙다고 해야지	1
참 불편러들 많네	0
난 저껌둥이를 엄청 싫어하지만 돈주고 하는것도 죄가된다면 우리나라 남자 80프로는 다잡아가라 돈주고 안해본 사람이 어딨냐 글고 돈죽고하면 당연히 사가시 해주는거지	1
원영의의 귀여움과,장국영의 색다른 매력을 있는 영화	0
이쁘다	0
내가 한 말이네. 자학개그	0
아까비... 강남에 클럽 하나 있었으면 운전병으로 꿀빨텐데	1
태규형 올해 연기대상이십니다!! 소름돋는 멋진연기였어요!!! 경동고화이팅!!	0
숙언니 힘내요 ㅠㅠ막내딸이라고 들은 거같은데 ㅠ삼가고인의 명복을 빕니다	0
보수가 또 주작을... 주작이 없으면 일베를 못와요...문재인되고 부동산 시대 저물었다고 집팔았다네ㅋㅋ 망상해서 일베오니 좋겠네~ㅋㅋㅋ	1
뭔거짓말븅신아	1
작가의 상상력이 대단한 영화.. 굿 메리지는 반전의 내용의 결말을 아이러니컬하게 표현한 영화 제목이라 생각 - http://bit.ly/Pkorea	0
무면허가 음주 운전 뺑소니를 했는데 선처를 한다면 재판부는 OOO다	0
양이 200그람대..난 걍 편의점 도시락이 양 많아서 좋더라..	0
댓글이 없네....	0
거부권 없는 삥뜯기.	1
남자를 지칭해서 용접배우라는거냐?	0
구스반산트의 컬트로드무비 아이다호. 난 리버피닉스 광팬였고. 그후 리버피닉스의죽음으로 매우 힘들었던 키아누리브스. 아직도 생각나는 영화 [마이 오운 프라이빗 아이다호] 둘은 별처럼 빛나는 전미최고의 아이돌스타였다.	0
나이 본다.. 적어도 내가 나온 곳은	0
https://m.ilbe.com/view/11205283662	0
준호♥김소은커플 짱이예용♥♥♥	0
플라멩코의경박한듯정열적인리듬감,절묘한액자식구성	0
전 그냥 그런 광고문자는 수신차단해버림	0
애미고양이 반병신 만들어 놓을테니	1
팔라우는 남태평양쪽 작은 섬나라	0
한번도 안봤음...그냥 역도요정김복주만 주구정창 정주행 하는데	0
그리고 리얼로하니 중간에 아니다 싶음 관두는거지. 그런 커플 몇 있었지..그런데 이런 경우 여자는 어려서 상처 안받는데 늙은 노총각들이 좀 기대했다가 실망했겠지..어차피 어린 여자는 자기 홍보 그 이상도 이하도 아님	1
영국의 배경이 너무 아름다운 영화로 기억될 것 같아요	0
It was a nice super duper!!!!	0
일단 이다해씨 너무 이쁘시네요, 무엇보다 정말 부잣집 공주님같으세요. 마이걸때도 애청자였던 저로서, 더욱더 출중한 연기력으로 돌아오신 두분, 진정한 악역이 어떤 건지를 보여준 이덕화님, 센스만점 감초역할의 박철민님, 보는내내 몰입할수있게 해주네요.	0
이 커플좀 제발빼면안되냐 진짜 보기시름.여자 내숭덩어리	1
하여튼 개돼지들 뭐눈에만 뭐만 보인다고;;	1
헬조선에서 왜 문치매이 대통령 해먹겠어뜬구름 잡는 소리로 망각하게 만들고 허상을 심어주면 좋아하고냉혹한 현실을 이야기 하면 지랄발광함	1
그러지마셔요 범죄자(살인미수) 음주운전은 살인미수예요.반성따위 없어요 이런 글 보면서 언젠간 악플때문이라면서 마시고 실수했다고 하겠죠?? 쯧쯧 누굴만나나요 .그러지마셔요 다른 노처녀들에게 양보하세요 .	1
부들대는 새끼들 518.6974%지잡대미만 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
돈많으면 쓰던거 버리고 새것 사야지.. 잘했어 용대야..	0
헨리편 노잼 황재균편 꿀잼	0
좋은 영화 입니다 ~ 구혜선 감독 멋있습니다.	0
대박이다.엄마왜저럼ㅜㅜ 아가씨들보다 이쁘다	0
틀	0
밑에꺼 난 항상 철망치같은거만 골랏엇음 ㅋㅋ	0
주작이다나 자취할때 라면,비빔면만 일주일 내내 먹은적 있는데진심 자다가 복통 존나 심하게 오고 변비에 배변도 좆같이 나옴피부 트러블 나고 머리 푸석푸석하고 몸 씹창남라면 적당히 쳐먹어야 된다의사들도 기피식품이 라면,탄산음료임	1
아리가또 투~~	0
전지현은 추후에 재단을 만들고 싶다고 했어요 훨씬 베푸는삶을 꿈꾸는 사람임 저정도 대스타를 이십년간 유지하는건 네티즌들의 말에 쥐똥도 신경안쓰는 건강한 삶의 방향성이 있어서임	0
윤진이가 연기를 잘하는것임	0
하여간 더럽게 역겨움.	1
진정한 사랑, 감동 대작.ㅋ	0
낫 베드인 영화.굿입니다	0
유시민 밖에 없다 다음 대선에...	0
복싱 배워라 원투 펀치로 쉽게 제압가능 	0
난 재밌던데 스토리 구성도 탄탄하고	0
히든싱어도 끝났다...예전에 비해 가수의 레벨이 너무 떨어짐.	1
이 개씹새끼 감성팔이로 일베 두 번 왔네 딸 팔아서 일베 렙업하려는 호로새끼 ㅋㅋㅋ ㅁㅈㅎ 쳐먹어라	1
류준열이 저뮤탈리스크같이 생긴애는 왜친한척?ㅎ	1
노망난 영감탱이들	1
진짜진짜 재밌음ㅋㅋㅋㅋㅋ	0
도깨비속 소름끼치던 간신에서 코믹까지 두루두루 연기 진짜 좋아요	0
빨ㅇ줄게	0
ㅈㄴ 작위적인느낌	0
ㅅ.ㅅ..사...삼성 ㅎㄷㄷㄷ	0
운동선수 만나다가 일반사람 만나면 백방 헤어진다. ..먹고 사는 게 사람들 기본적인 욕구인데 벤츠타다가 모닝 탈 수 있나.	1
선우가 성이고 혜가 이름인데 계속 우혜우혜... ㅜㅜ	0
아이엠스타!재미있내요!이치고가앞으로열심이아츠활동을잘했으면 좋겠네요!호시미야이치고!파이팅!	0
비호감 이윤지 서민정 극혐	1
그래 연기 못하는데 예능이라도 해서 생명유지 해야지	1
사진 제 싸이로 펌질합니다	0
이 뇬도 참 . .,.. 왜 이 지로ㄹ 하는지 그걸 또 연옌 까십으로 쓰는 기자나 ㅉㅉㅉ	1
와..진짜 거짖말안치고 와..알라딘이 자스민 데리고 마법양탄자 타고 성밖나가면서 알라딘이 아이캔쇼유더월드~ 노래딱 나오는데! 와..ㅋㅋ소름이 ;;; 그리고 사람은 떳떳하고솔직 해야지 떳떳하고 정당하게 행복할수있다는것을 교훈으로 꺠우치고 갑니다~	0
좋은 날이 있을거다 내인생도!	0
귀엽다귀엽다귀엽다.	0
조여정이나 저분들이나 출연료 차이지 막말로 뭐가다르지??	0
보면서 울었네 넘 웃겨..스트레스 해소.교육적인 내용도있고.	0
룸메이트는대단한프로그랩입니다.찬열화이팅변백현싱잉더레인대박나라! (다음에EXO완전체로오면좋을듯)ㅋ	0
Topher Grace ... Good performance!	0
여자 너무 늙었네 우웩	1
내가 최지우남편이면...첫날밤 일곱번 가능합니다~*	1
존못 ㅉ	1
똥차가고 ㄹㅇ 벤츠 왔네 ㅋㅋㅋ현무형 축하드립니다 ㅋㅋㅋ	1
배우로써최선을다하고싶으면 작품이망하든말든계속도전해야는거아닌가..작품을본적이없다	1
뭘 좀 제대로 보여줘야 확인이되지.	0
시즌1 평점10 시즌2 평점8 시즌3 평점6 시즌4 보는중	0
인간, 선, 악, 정, 눈물...	0
180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함	0
결국 남자를 죽게 하는건 뇨쟈들...요즘 여자들 순결 지키고 한 남자 한테올인 하는 여자들 잇는지...원나잇 하는 세상에 ...여자들 니들은 남편 이랑할때 아다라시 엿나 ㅋㅋ	1
김건모 서태지 느낌이 비슷함	0
ㅈㄹ옘병하고있네...프로그램 끝나면 끝나버리는 연애따위...이젠 안믿는다...ㅋㅋㅋㅋㅋ	1
중국 여자 보는게 레전드네 ㄷㄷㄷ  뭔가 홀린거 같은데 표정이 ㄷㄷㄷ	0
씨발 문재앙 때문이냐? 왜 점점 사회가 공산주의화 되가냐?니들 보고 용접공 하려면 할 거냐? 니 자식 새끼 용접공 시키라면 시킬 거냐고사무직과 용접공 둘 다 급여 조건이 똑같다는 가정 하에 용접공 선택하는 사람이 몇이나 될 거 같냐?그게 싫어서 학창시절부터 열심히 공부해서 좋은 성적 받은 사람이 좋은 급여와 조건에서 일하는게 맞지.뭘 자꾸 용접공도 훌륭한 직업이네 뭐네 개소리를 해.물론, 누군가는 반드시 해야하는 일이지만 그게 너라면 , 너에게 그것말고 선택의 폭이 넓다면 안 할 거잖아.왜 자꾸 개씹소리들을 씨부려.공부 못하면 직업 선택의 폭이 좁아진다는 말은 한 건데 왜 이리들 광분함?	1
이번 대통령때는 특히나 연예인이 많이 죽는 거같다... 재앙이 닥쳤구만	1
맞는 말 하긴 했는데ㅋㅋㅋㅋ 일본에서 말하는 바람에 디지게 쳐맞는 중	1
q평e평rqe평평평할평	0
두부는 외상으로	0
코봉이 형	0
저 역시 윤짜장을 지지했었기에 지금은 반성을 합니다.	0
십점만점에십점	0
돼지 뭐 어쩌라구‼️‼️‼️ 뭘 가득 처먹고 그러냐 아프리카는 마실 물도 없는데 가득 처먹는거 잡아 없애야지‼️‼️⁉️⁉️	1
ㅋㅋㅋ 재밌고 잘 봤습니다	0
하여간 흉기 언플 존나함. 이제 안먹히지 자국민이 호구도 아니고	1
제가 백묘님 팬이라서 그런지,이런내용 완전 좋아해요	0
지현우는 주연급은아닌것같은데왜매번주연이지 이해안됨 나오는것마다재미없던데	1
믿고보는 덴젤워싱턴.	0
고이은주배우와 서로사랑했다고했을때랑 너무다른모습ㅇ다	0
11日정복자1000pop3602 12日홍빵♥₂§슛§ 13日나쁜녀석들미췬개형사 오구탁(김상중)+일당백족팡매 박웅철(마동석)간지살인청부맨 정태수(조동혁)+기억안나 이정문(박해진)초중반까지 사실 더 재밌었습니다만, 즐거웠습니다 And..?시즌2 기다릴게요☆	0
시발 난 이거 안쓰고 떡상할때까지 가지고 있을꺼다 .	1
짠~~하다~~~ 왜그러고사니~~ 쯧쯧쯧	1
서울시 84제곱 이상 청약 가점 필요없지~현금 최소 7~8억 가지고있어야 엄두 낼까말까인데~투기조장 오집니다!!!	0
와  최대1만명 수준이면 최소 몇천은 될것같은데....다 잡아서 콩밥은 무슨 자지다썰어야됨.	1
자판기 웃기지않았음? 음료가 계속나왘ㅋㅋㅋㅋㅋㅋㅋㅋ	0
굉장히 굉장함	0
남자 ㅈㄴ 못생김 만들어지디 만거같이생김 ㅋㅋ	1
부모가 잘못한걸 왜 아들이 변제해야되는지 모르겠네	0
그럼 나이50넘어서 협력업체같은곳 못비비면 어디들어갈수있을꺼같노?대부분 자영업하거나  귀농해서 소박하게산다..	0
미이라에 대고 비교하시지마시구 그냥보면잼나여,,.글구미라3짱잼없거등여?ㅋ	0
진짜 진리는 남자는 재력 여자는 미모인데 되도않는 것들이 넷에서만 피터지게 싸우네 ㅋㅋㅋㅋㅋㅋㅋㅋ	1
조현재가 드라마 하면 대부분 잘되던데연기도 잘하고 인품도 좋구 얼굴은 조각이구	0
아련 애틋, 옅은 분홍 빛깔로 덧댄 느낌이 좋았어요.	0
담담하게 서술해낸 기적같은 스포츠사의 한 이변..	0
전라도랑은살기힘들지 차라리 강아지랑살지	1
스탤론 행님의 레전드 걸작이제영원히 살아 있네 졸라 재미있게잘 즐겨 봤다	0
박가원님 정말 이쁘고 착해보임 당나귀방송보고 정말 이쁘고 착하다생각했는데 어제 방송에서도 정말 이뻤음	0
싸우면 백퍼 지겠다 지렁이한테도 고전끝에 겨우 이기는데	0
쾌차히시기를 기원합니다	0
최지우 오랜만에 보니 좋네요~ 임신해도 너무 예뻐요~	0
서현숙이 너무 아까운거 아니가... 요즘 3대치어중 한명인데 열애설이라니..	0
사진 순간 현아일줄	0
진짜 아역배우 이레의 톡톡튀는연기 너무 대단하다 진짜.진짜 연기력 대박	0
난 사이트 마다 아이디/비번 다 다르고 난이도 높음엑셀 파일에 모든 아이디/비번 / 계좌정보 등등 다 들어 있고이 엑셀 파일에 비번만 기억함	0
김치녀.한녀는 절대 가질수없는 몸무게지	1
동성애옹호방송 불편하다	1
마닷 안나오면 재미없을거 같은데	0
간만에 본 제대로된 영화, 정말 추천	0
그냥 한석원쌤 같은 리버스 투블럭 틀딱들만 보다가 얼굴 좀 예쁜 여자쌤이 가르치니 한남들 발정나서 보는거임	1
시벌...ㅠ	1
서울대 이혜성 >>>>>> 넘사 >>>>>>> 동덕여대 한혜진. 전현무도 결혼할 나인데 현명하게 판단한거임	1
준희야, 너 하나도 어색하지않고 예쁘다..진실언니의 팬이자두딸의 엄마로서,준희는 너무나 예쁘고,대단해..	0
그래서 이분은 앞담화 하는거가?ㅋㅋ	1
저짝 동네가 아시아의 멕시코지	0
우리나라가 이래서 안되는거... 서로 힘든거 서로 견디면서 앞으로 잘해보겠다는데 축하 까지는 아니어도 욕까지는 할 필요 없지않나..? 조선시대 와 현재를 왔다갔다 하는 나라의 마인드...	1
과산화수소가 좋텐다..  샤워좀 해~	0
이번편이 제일 재미 없었음.	0
혼자 연기한다고 설쳐서 EXID 해체하나보네... 한 여자의 이기심으로 다른 이의 꿈까지 다 짓밟네...	1
큰액수도 아니고 갚았는데 방송 첨부터 이야기 하던가 뜨고나니 터치는건 뭐야 ~~~참 언론이 무서워 사람 인생 보내는거 순식간이야	0
힘내서 당당히 더 좋은분 만나세요	0
최고 전 제크로무 받았는데 기술이 뇌격 크로스썬더 역린 또1개 머있었는데 진짜좋음	0
도움되라고 하는게아니라 본인 뿌듯하려고 기부를 하니 저리되지	0
잔잔하게 전달되는 아픔과 따뜻함이 있는.	0
정신줄 단디 챙기래이	0
그거 다른애 글에있다 찾아봐라~ 	0
언플 오지네 진짜 ! 언플하기전에 연기력과겸손함부터 쳐배워라 !	1
윤아 가승 D컵은 되겠다	1
누가 그랬다. 한국 사람들에게 마음의 문을 열고 진심을 다해 대하면 그 한국 사람은 사기칠 생각부터 한다고...	1
한혜진과 헤어진지 얼마나 됐다고,그새 열애를~~ㅋㅋㅋ	1
토드 헤인즈만 믿고 봤다 -	0
Bye Bye Black Bird Bye Bye	0
여자인생 망칠 일 있나 ㅋㅋ	1
대한민국 최고!!!!	0
이런 로드무비 최고에요	0
니뽕 1등해!!!	0
왼쪽 사진은 동네 아줌마 인줄 알았다 오른쪽 사진은 옛날 모습 나와서 깜놀	1
원포더머니 이영화 최고네요ㅎ킬러스랑 분위기가비슷했어요ㅎ	0
김사랑은 진짜 사랑이다	0
이사진은 선거끝날때까지 계속올려주시기바랍니다	0
다음병신같은한자쓰는 미개한좆샌징새끼	1
난 너무 재미있음송중기 눈빛 와 설렘~~~말타는거보고 외국 영화인줄~~~장동건 중후하고 분위기 있고 역시란 말이 절로 나온다~한류가 커져서 이런 퀄리티 드라마를 볼수 있는거에 감사한다~	0
게이야 왜 근거 못 대누?	1
캐스팅만으로도 볼만~아오야먀 신지의 전작을 보신 분이라면 매우 므흣한.	0
역시 호세 조반니와 알랑 들롱의 궁합이 잘 맞는 듯 싶다.	0
씹쿵쾅 맷돼지들	1
진짜 멋있다	0
내용이 진지하고 심각성의 내용이라 재미있썼다고 하긴 머하지만 몰입도가무지 좋았써묘연기력 은 와...노출신이 너무 심각 한장면 들이라 야하다 머 그런생각 보단 머라고 해야할지....아무튼 추천할만한 영화 였어요	0
인상적인 영화 십자십자십자	0
쳐 자라	1
거기색깔은 석탄이랑 비슷할듯	0
너같은새끼들만  그렇게 생각하겠지 닉값 존나 하네?	1
그런데 회사가 아빠 회사잖아,	0
아줌마 소리는 듣기 싫다면서 내면의 아름다움이 중요하다는건 뭔 소리인지.. 내면의 아름다움이 중요하다면 아줌마이든 아가씨이든 상관없지 않나? 말의 앞뒤가 안 맞아요	1
